case,material,step,isotope,adens_atoms_per_barn_cm
M43-10,M43-10,20,Pa233,4.2456e-06
M43-10,M43-10,21,Pa233,4.29771e-06
M43-10,M43-10,22,Pa233,4.35904e-06
M43-10,M43-10,23,Pa233,4.44427e-06
M43-10,M43-10,24,Pa233,4.54068e-06
M43-10,M43-10,25,Pa233,4.65667e-06
M43-10,M43-10,0,Pa234,0.0
M43-10,M43-10,1,Pa234,2.46124e-11
M43-10,M43-10,2,Pa234,1.03814e-10
M43-10,M43-10,3,Pa234,1.68522e-10
M43-10,M43-10,4,Pa234,2.21718e-10
M43-10,M43-10,5,Pa234,2.65514e-10
M43-10,M43-10,6,Pa234,3.00638e-10
M43-10,M43-10,7,Pa234,3.38646e-10
M43-10,M43-10,8,Pa234,3.73356e-10
M43-10,M43-10,9,Pa234,3.99927e-10
M43-10,M43-10,10,Pa234,4.3144e-10
M43-10,M43-10,11,Pa234,4.49198e-10
M43-10,M43-10,12,Pa234,4.6043e-10
M43-10,M43-10,13,Pa234,4.66274e-10
M43-10,M43-10,14,Pa234,4.71673e-10
M43-10,M43-10,15,Pa234,4.77611e-10
M43-10,M43-10,16,Pa234,4.84377e-10
M43-10,M43-10,17,Pa234,4.90083e-10
M43-10,M43-10,18,Pa234,4.96029e-10
M43-10,M43-10,19,Pa234,5.01044e-10
M43-10,M43-10,20,Pa234,5.07659e-10
M43-10,M43-10,21,Pa234,5.16776e-10
M43-10,M43-10,22,Pa234,5.29497e-10
M43-10,M43-10,23,Pa234,5.4625e-10
M43-10,M43-10,24,Pa234,5.69215e-10
M43-10,M43-10,25,Pa234,5.95863e-10
M43-10,M43-10,0,U233,0.0
M43-10,M43-10,1,U233,8.53511e-09
M43-10,M43-10,2,U233,1.2975e-07
M43-10,M43-10,3,U233,3.73078e-07
M43-10,M43-10,4,U233,7.15104e-07
M43-10,M43-10,5,U233,1.13692e-06
M43-10,M43-10,6,U233,1.62309e-06
M43-10,M43-10,7,U233,2.3498e-06
M43-10,M43-10,8,U233,3.35196e-06
M43-10,M43-10,9,U233,4.42692e-06
M43-10,M43-10,10,U233,6.705e-06
M43-10,M43-10,11,U233,9.06056e-06
M43-10,M43-10,12,U233,1.14325e-05
M43-10,M43-10,13,U233,1.37892e-05
M43-10,M43-10,14,U233,1.61156e-05
M43-10,M43-10,15,U233,2.06552e-05
M43-10,M43-10,16,U233,2.50215e-05
M43-10,M43-10,17,U233,2.92123e-05
M43-10,M43-10,18,U233,3.32278e-05
M43-10,M43-10,19,U233,3.70712e-05
M43-10,M43-10,20,U233,4.07489e-05
M43-10,M43-10,21,U233,4.76394e-05
M43-10,M43-10,22,U233,5.38984e-05
M43-10,M43-10,23,U233,6.2234e-05
M43-10,M43-10,24,U233,7.1446e-05
M43-10,M43-10,25,U233,7.86909e-05
M43-10,M43-10,0,U234,0.0
M43-10,M43-10,1,U234,1.21456e-09
M43-10,M43-10,2,U234,7.07599e-09
M43-10,M43-10,3,U234,1.59013e-08
M43-10,M43-10,4,U234,2.72759e-08
M43-10,M43-10,5,U234,4.08604e-08
M43-10,M43-10,6,U234,5.63436e-08
M43-10,M43-10,7,U234,7.95857e-08
M43-10,M43-10,8,U234,1.12178e-07
M43-10,M43-10,9,U234,1.48204e-07
M43-10,M43-10,10,U234,2.28602e-07
M43-10,M43-10,11,U234,3.18407e-07
M43-10,M43-10,12,U234,4.16408e-07
M43-10,M43-10,13,U234,5.21714e-07
M43-10,M43-10,14,U234,6.34028e-07
M43-10,M43-10,15,U234,8.78179e-07
M43-10,M43-10,16,U234,1.14722e-06
M43-10,M43-10,17,U234,1.43955e-06
M43-10,M43-10,18,U234,1.75432e-06
M43-10,M43-10,19,U234,2.08997e-06
M43-10,M43-10,20,U234,2.44552e-06
M43-10,M43-10,21,U234,3.21096e-06
M43-10,M43-10,22,U234,4.04373e-06
M43-10,M43-10,23,U234,5.39902e-06
M43-10,M43-10,24,U234,7.36141e-06
M43-10,M43-10,25,U234,9.44948e-06
M43-10,M43-10,0,U235,5.28542e-05
