case,group,keff_threshold,valid_points,burnup_range,max_CR,keff_at_max_CR,avg_CR,Th_level,Pu_level,U235_enrichment,U233_enrichment,total_enrichment
D017,D,1.0,26,0.0 - 50.0,0.622028,1.05712,0.40401169230769224,0.8,0.08,0.03,0.0,0.03
D018,D,0.8,26,0.0 - 50.0,0.610716,1.06383,0.39826396153846155,0.8,0.08,0.05,0.0,0.05
D018,D,0.9,26,0.0 - 50.0,0.610716,1.06383,0.39826396153846155,0.8,0.08,0.05,0.0,0.05
D018,D,0.95,26,0.0 - 50.0,0.610716,1.06383,0.39826396153846155,0.8,0.08,0.05,0.0,0.05
D018,D,1.0,26,0.0 - 50.0,0.610716,1.06383,0.39826396153846155,0.8,0.08,0.05,0.0,0.05
D019,D,0.8,26,0.0 - 50.0,0.954626,0.881404,0.5493299230769231,0.9,0.04,0.02,0.0,0.02
D019,D,0.9,25,0.0 - 42.0,0.906949,0.91052,0.5331180799999999,0.9,0.04,0.02,0.0,0.02
D019,D,0.95,24,0.0 - 34.0,0.832609,0.95081,0.5175417916666666,0.9,0.04,0.02,0.0,0.02
D019,D,1.0,22,0.0 - 24.0,0.718439,1.01569,0.4919591363636364,0.9,0.04,0.02,0.0,0.02
D020,D,0.8,26,0.0 - 50.0,0.948462,0.884132,0.5454759230769229,0.9,0.04,0.03,0.0,0.03
D020,D,0.9,25,0.0 - 42.0,0.89889,0.913968,0.5293564799999999,0.9,0.04,0.03,0.0,0.03
D020,D,0.95,24,0.0 - 34.0,0.824749,0.954606,0.51395925,0.9,0.04,0.03,0.0,0.03
D020,D,1.0,22,0.0 - 24.0,0.711731,1.01932,0.4887440454545455,0.9,0.04,0.03,0.0,0.03
D021,D,0.8,26,0.0 - 50.0,0.934465,0.88956,0.5378821923076923,0.9,0.04,0.05,0.0,0.05
D021,D,0.9,25,0.0 - 42.0,0.883014,0.920716,0.52201888,0.9,0.04,0.05,0.0,0.05
D021,D,0.95,24,0.0 - 34.0,0.809164,0.961916,0.5069774166666666,0.9,0.04,0.05,0.0,0.05
D021,D,1.0,22,0.0 - 24.0,0.699222,1.02624,0.48245618181818184,0.9,0.04,0.05,0.0,0.05
D022,D,0.8,26,0.0 - 50.0,0.753453,0.974526,0.4421848076923077,0.9,0.06,0.02,0.0,0.02
D022,D,0.9,26,0.0 - 50.0,0.753453,0.974526,0.4421848076923077,0.9,0.06,0.02,0.0,0.02
D022,D,0.95,26,0.0 - 50.0,0.753453,0.974526,0.4421848076923077,0.9,0.06,0.02,0.0,0.02
D022,D,1.0,25,0.0 - 42.0,0.690769,1.01647,0.42973408,0.9,0.06,0.02,0.0,0.02
D023,D,0.8,26,0.0 - 50.0,0.749649,0.976373,0.4405667307692308,0.9,0.06,0.03,0.0,0.03
D023,D,0.9,26,0.0 - 50.0,0.749649,0.976373,0.4405667307692308,0.9,0.06,0.03,0.0,0.03
D023,D,0.95,26,0.0 - 50.0,0.749649,0.976373,0.4405667307692308,0.9,0.06,0.03,0.0,0.03
D023,D,1.0,25,0.0 - 42.0,0.687352,1.01824,0.42820344000000005,0.9,0.06,0.03,0.0,0.03
D024,D,0.8,26,0.0 - 50.0,0.742445,0.979947,0.4374910384615384,0.9,0.06,0.05,0.0,0.05
D024,D,0.9,26,0.0 - 50.0,0.742445,0.979947,0.4374910384615384,0.9,0.06,0.05,0.0,0.05
D024,D,0.95,26,0.0 - 50.0,0.742445,0.979947,0.4374910384615384,0.9,0.06,0.05,0.0,0.05
D024,D,1.0,25,0.0 - 42.0,0.681054,1.02169,0.42529287999999993,0.9,0.06,0.05,0.0,0.05
D025,D,0.8,26,0.0 - 50.0,0.60685,1.05988,0.3749222307692307,0.9,0.08,0.02,0.0,0.02
